City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Semenyih,MY,78.58,overcast clouds,2.9516,101.843,Diamond City Bungalow 13 pax by BeeStay near Broga
534,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
537,Presidente Medici,BR,85.19,scattered clouds,-11.1753,-61.9014,Oliveira Palace Hotel
540,Vanimo,PG,78.48,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
541,Bhadrapur,NP,79.0,few clouds,26.544,88.0944,Greencity
543,Candelaria,PH,78.39,broken clouds,13.9311,121.4233,Casa de Provincia
544,Abnub,EG,88.02,overcast clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
548,Jacareacanga,BR,81.86,light rain,-6.2222,-57.7528,Casa do Ian😎
549,Pangai,TO,81.03,clear sky,-19.8,-174.35,Ha'apai Beach Resort
555,Garowe,SO,81.01,scattered clouds,8.4054,48.4845,Curubo Hotel
558,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
563,Curvelo,BR,89.35,clear sky,-18.7564,-44.4308,Pontal Plaza Hotel
564,Boa Vista,BR,80.58,light rain,2.8197,-60.6733,Aipana Plaza Hotel
565,Honiara,SB,77.76,overcast clouds,-9.4333,159.95,Heritage Park Hotel
567,Bandarbeyla,SO,80.13,scattered clouds,9.4942,50.8122,JABIR HOTEL
569,Cabinda,AO,80.49,overcast clouds,-5.55,12.2,Hotel Maiombe
570,Ovalle,CL,79.2,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
571,Pontes E Lacerda,BR,86.16,few clouds,-15.2261,-59.3353,Hotel Bressan
572,Koumac,NC,79.45,overcast clouds,-20.5667,164.2833,Le Monitel
575,Iralaya,HN,82.83,scattered clouds,15.0,-83.2333,Iglesia morava renovada
577,Mayuge,UG,75.29,overcast clouds,0.4597,33.4803,Kagolo Bar and Lodge
581,Sao Miguel Do Araguaia,BR,87.15,few clouds,-13.275,-50.1628,Hotel Executivo Palace
582,Arawa,PG,76.26,light rain,-6.2132,155.5367,Coastline Guest House
583,Kpandae,GH,83.91,light rain,8.4689,-0.0113,S. Amaski Guest House
585,Les Cayes,HT,84.25,few clouds,18.2,-73.75,Villa Orphee
586,Benguela,AO,78.19,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
587,Pemangkat,ID,78.3,broken clouds,1.1667,108.9667,Ramah Kost KITA
589,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
591,Namatanai,PG,78.87,light rain,-3.6667,152.4333,Seagulls Inn Namatani
592,Urucui,BR,87.06,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
596,Natchez,US,75.25,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
597,Brandon,US,76.19,overcast clouds,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
601,Upington,ZA,80.98,few clouds,-28.4478,21.2561,River Place Manor
603,Samana,DO,84.16,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
604,Planeta Rica,CO,88.65,broken clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
612,Dingle,PH,75.88,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
615,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
621,Porto Belo,BR,78.26,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
623,Rabaul,PG,79.38,light rain,-4.1967,152.1721,Rabaul Hotel
627,Vung Tau,VN,81.12,overcast clouds,10.346,107.0843,Seaside Resort
629,El Alto,PE,82.06,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
631,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
633,Huarmey,PE,75.16,broken clouds,-10.0681,-78.1522,Hotel Miramar
641,Kirakira,SB,80.24,light rain,-10.4544,161.9205,SanBiz Lodge
644,Coahuayana,MX,85.1,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
646,Madingou,CG,79.2,broken clouds,-4.1536,13.55,HOTEL KIM ELISA
648,Riyadh,SA,89.74,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
653,Santo Estevao,BR,88.05,overcast clouds,-12.4303,-39.2514,Campo Hotel
656,Puerto Ayacucho,VE,85.55,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
659,Juru,MY,78.75,light rain,5.312,100.4423,Starway Hotel
666,Tete,MZ,80.69,moderate rain,-16.1564,33.5867,Zambeze Paraíso Misterioso
669,Maragogi,BR,83.07,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
675,Tagusao,PH,79.21,light rain,9.1924,117.8141,Green Villa beach resort
680,Junin,AR,75.72,broken clouds,-34.5838,-60.9433,Hotel Central
685,Kismayo,SO,81.18,overcast clouds,-0.3582,42.5454,Agan-Hotel
686,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
696,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
