City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Seydi,TM,2022-04-03 02:53:54,39.4816,62.9137,62.37,27,13,8.59
67,Mattoon,US,2022-04-03 02:53:54,39.4831,-88.3728,42.46,83,5,12.91
68,Nikolskoye,RU,2022-04-03 02:53:55,59.7035,30.7861,23.81,96,5,2.64
69,Tezu,IN,2022-04-03 02:53:55,27.9167,96.1667,72.0,79,100,2.89
70,Krasnoselkup,RU,2022-04-03 02:53:55,65.7,82.4667,9.52,97,100,5.61
71,Diffa,NE,2022-04-03 02:53:56,13.3154,12.6113,79.3,8,98,10.63
72,Cape Town,ZA,2022-04-03 02:53:56,-33.9258,18.4232,61.88,75,0,5.75
73,Madaoua,NE,2022-04-03 02:53:57,14.073,5.96,77.13,5,83,3.49
74,Kaitangata,NZ,2022-04-03 02:53:57,-46.2817,169.8464,65.03,53,87,9.31
75,Atuona,PF,2022-04-03 02:53:57,-9.8,-139.0333,79.75,75,18,17.76
76,Verkhoyansk,RU,2022-04-03 02:53:58,67.5447,133.385,11.97,78,97,1.45
77,Bethel,US,2022-04-03 02:53:01,41.3712,-73.414,43.16,63,99,1.03
78,Marang,MY,2022-04-03 02:53:58,5.2056,103.2059,76.93,76,93,0.31
79,Coahuayana,MX,2022-04-03 02:53:58,18.7333,-103.6833,67.44,90,0,2.19
80,Nemuro,JP,2022-04-03 02:53:59,43.3236,145.575,39.16,72,1,14.72
81,Port Alfred,ZA,2022-04-03 02:53:59,-33.5906,26.891,62.19,96,100,1.99
82,Khatanga,RU,2022-04-03 02:54:00,71.9667,102.5,-1.8,94,100,9.31
83,Carnarvon,AU,2022-04-03 02:54:00,-24.8667,113.6333,80.67,78,40,9.22
84,Batsfjord,NO,2022-04-03 02:54:00,70.6345,29.7185,22.78,86,100,3.44
85,Nioki,CD,2022-04-03 02:54:01,-2.7167,17.6833,69.12,99,100,1.61
86,Camabatela,AO,2022-04-03 02:54:01,-8.1881,15.375,63.54,99,100,3.53
87,Bredasdorp,ZA,2022-04-03 02:54:02,-34.5322,20.0403,59.29,83,43,3.18
88,Mersing,MY,2022-04-03 02:54:02,2.4312,103.8405,76.91,94,40,2.3
89,Micomeseng,GQ,2022-04-03 02:54:02,2.1462,10.6164,68.41,98,100,1.86
90,Hithadhoo,MV,2022-04-03 02:54:03,-0.6,73.0833,83.3,68,13,5.37
91,Tuktoyaktuk,CA,2022-04-03 02:54:03,69.4541,-133.0374,-11.2,77,100,3.44
92,Tumen,CN,2022-04-03 02:54:03,42.9661,129.8425,56.41,25,0,4.61
93,Kovernino,RU,2022-04-03 02:54:04,57.1253,43.8142,32.61,98,100,8.01
94,Sinnamary,GF,2022-04-03 02:54:04,5.3833,-52.95,77.99,88,98,12.39
95,New Norfolk,AU,2022-04-03 02:54:05,-42.7826,147.0587,62.92,46,17,3.49
96,Lazaro Cardenas,MX,2022-04-03 02:54:05,17.9583,-102.2,71.64,81,15,5.79
97,Puerto Suarez,BO,2022-04-03 02:54:05,-18.95,-57.8,70.63,82,47,4.41
98,Kalmunai,LK,2022-04-03 02:54:06,7.4167,81.8167,81.72,76,59,7.47
99,Bambous Virieux,MU,2022-04-03 02:54:06,-20.3428,57.7575,77.22,100,40,20.71
100,Kodiak,US,2022-04-03 02:54:06,57.79,-152.4072,37.35,72,100,3.51
101,Constitucion,CL,2022-04-03 02:54:07,-35.3333,-72.4167,56.57,97,82,8.28
102,Ixtapa,MX,2022-04-03 02:54:07,20.7,-105.2,65.43,90,5,1.95
103,Faanui,PF,2022-04-03 02:54:08,-16.4833,-151.75,82.45,69,15,3.31
104,Sibolga,ID,2022-04-03 02:54:08,1.7427,98.7792,79.36,81,100,1.19
105,Caravelas,BR,2022-04-03 02:54:08,-17.7125,-39.2481,75.34,86,0,3.27
106,Salinopolis,BR,2022-04-03 02:54:09,-0.6136,-47.3561,78.53,87,57,9.84
107,Atar,MR,2022-04-03 02:54:09,20.5169,-13.0499,69.1,25,0,5.3
108,Husavik,IS,2022-04-03 02:54:10,66.0449,-17.3389,36.25,94,100,5.41
109,Kavaratti,IN,2022-04-03 02:54:10,10.5669,72.642,82.2,71,4,1.97
110,Brive-La-Gaillarde,FR,2022-04-03 02:54:11,45.25,1.5,29.28,95,9,3.04
111,Kavieng,PG,2022-04-03 02:54:11,-2.5744,150.7967,82.76,75,47,12.75
