City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Berlevag,NO,70.8578,29.0864,26.6,64,100,18.86,overcast clouds
70,Charters Towers,AU,-20.1,146.2667,74.12,86,94,9.26,overcast clouds
71,Kropotkin,RU,45.4375,40.5756,54.25,70,51,15.14,broken clouds
72,Tarauaca,BR,-8.1614,-70.7656,86.77,53,52,0.51,broken clouds
73,Motygino,RU,58.1831,94.7592,0.91,99,17,1.72,few clouds
74,Nanortalik,GL,60.1432,-45.2371,37.2,82,99,4.54,overcast clouds
75,San Vicente,AR,-26.6167,-54.1333,81.7,49,87,7.27,overcast clouds
76,Grande Prairie,CA,55.1667,-118.8027,37.58,56,75,5.75,broken clouds
77,Rikitea,PF,-23.1203,-134.9692,76.17,64,45,8.79,scattered clouds
78,Burnie,AU,-41.0667,145.9167,56.97,73,63,3.8,broken clouds
79,Bengkulu,ID,-3.8004,102.2655,77.0,82,60,4.72,broken clouds
80,Atuona,PF,-9.8,-139.0333,78.98,72,92,22.82,overcast clouds
81,New Norfolk,AU,-42.7826,147.0587,55.92,88,98,1.39,overcast clouds
82,Yellowknife,CA,62.456,-114.3525,11.41,79,20,12.66,few clouds
83,Tvoroyri,FO,61.5556,-6.8111,46.13,98,100,23.96,overcast clouds
84,Sitka,US,57.0531,-135.33,40.89,81,100,29.93,light rain
85,Hanzhong,CN,33.0728,107.0303,59.52,58,100,2.95,overcast clouds
86,Sabang,ID,5.8933,95.3214,80.51,79,100,14.03,overcast clouds
87,Lakes Entrance,AU,-37.8811,147.981,58.15,93,100,22.15,overcast clouds
88,Necochea,AR,-38.5473,-58.7368,65.46,61,80,16.33,broken clouds
89,Saint-Philippe,RE,-21.3585,55.7679,74.79,88,100,15.59,moderate rain
90,Vermilion,US,40.1667,-87.7506,55.62,56,0,7.0,clear sky
91,Huejuquilla El Alto,MX,22.6,-103.8667,78.44,13,58,6.04,broken clouds
92,Kuytun,RU,54.3419,101.5036,20.73,98,100,1.97,light snow
93,Gainesville,US,29.6516,-82.3248,73.81,52,0,10.36,clear sky
94,Hithadhoo,MV,-0.6,73.0833,83.61,69,31,4.76,scattered clouds
95,Jamestown,US,42.097,-79.2353,35.24,72,100,9.22,overcast clouds
96,Rantepao,ID,-2.9701,119.8978,66.27,97,100,2.82,overcast clouds
